hyNo,c_HYNAME,j_HYNAME
301,人生不長,思えばはかなし
302,安葬,葬送
303,天國來了,御国は来たりぬ
304,浪子回家,いざ故郷へ
305,警醒自責,目をさませ
306,悔改重生,赦したまえ我が罪
307,回來罷！,我れ帰らん
308,天父接納我,聖なるいけにえとして
309,新年祈望,新しき年に
310,年終感頌,年の過ぎるは
311,一齊來歌頌,造られしものよ
312,齊聚主前,はらから集いて
313,這世界的光是耶穌,世の光なる主イエス
314,耶穌呼召,主は呼び給う
315,永世的君王,人の目には見えねども
316,敬拜榮耀王,大いなる御神をば
317,我救主已來到,主は呼び給えり
318,安穩港口,安きかな
319,敬拜基督新生王,大きなよろこび
320,天使歌唱,天使の賛美
321,信徒齊來頌主,みな来たりて
322,榮耀歸於天父,み栄えイエスに帰して
323,獻上千萬榮冠,ささげまつらん
324,慈愛的救主,聖なる救い主
325,救主耶穌是我至寶,尊き我が主
326,歡唱詠不停,わたしにあるメロディ
327,多認識耶穌,我が願わくは
328,讚美真神創造主,讃えよ天地を造りし主を
329,天父我神,天地を造りし神
330,奇妙平安由神來,キリストの平和
331,聖靈信實保惠師,神の霊に導かれて
332,真神大愛,主より離れるは何によるか
333,欣逢聖日,安息日ごとに
334,耶穌，沙崙玫瑰,イエスはシャロンの薔薇
335,真希奇，我主的慈愛,主イエスの御前に驚き仰ぐ
336,耶穌是否仍然看顧我？,主は顧みるか？
337,耶穌揀選我,主われを選び給う
338,他拯救我,主　我さえ救えり
339,耶穌是我一切所有,友なる主イエス
340,奇妙的救主,偉大なる神イエス
341,讓主耶穌進入你心,イエスを迎えよ
342,你的光當照耀,照らせあなたの光
343,愛拯救我,愛　我救えり
344,暴風雨中的避難所,主は我が逃れ場
345,深哉，深哉，耶穌的愛,はかれぬ主の愛
346,耶穌溫柔慈聲呼喚,イエスは汝を呼び給う
347,萬古磐石藏身所,岩こそキリスト
348,他是奇妙救主,奇しきは主の救いよ
349,救主正在等待,主イエスは待てり
350,主比生命更寶貴,いのちの主こそ宝
351,每一天,日々主ともに
